1,Mien Bac,09/11/2022,"57765","69270","33523, 02685","84523, 77290, 28378, 00860, 06188, 76005","0445, 9065, 6142, 8859","8856, 4721, 1409, 3307, 7321, 9251","866, 778, 530","17, 42, 90, 34","-",da quet
2,Dong Nai,09/11/2022,"229487","69394","95470","91802, 87740","78405, 09601, 51979, 65828, 11064, 86551, 69112","7267","2402, 3590, 3501","754","70",da quet
3,Can Tho,09/11/2022,"597943","89416","47110","77341, 18127","80129, 13168, 74881, 74339, 44477, 19409, 08854","5805","8375, 5951, 0379","760","48",da quet
4,Soc Trang,09/11/2022,"676454","61231","52476","87889, 74943","43111, 67392, 01996, 49416, 24848, 69334, 63138","3002","9968, 6837, 0800","160","17",da quet
5,Da Nang,09/11/2022,"969708","21721","46258","47879, 99130","08612, 41252, 56627, 39726, 94579, 08975, 22238","6753","0259, 4639, 9747","887","65",da quet
6,Khanh Hoa,09/11/2022,"076919","97006","44091","51563, 52190","90668, 11252, 66330, 00311, 14573, 67694, 16775","8662","2791, 3291, 6975","017","26",da quet
