1,Mien Bac,17/10/2022,"15677","13447","41401, 55659","09614, 70832, 48851, 08349, 92890, 45052","9807, 5291, 5713, 4749","3465, 7671, 0654, 6944, 4800, 3828","274, 626, 012","84, 12, 41, 70","-",da quet
2,Ho Chi Minh,17/10/2022,"532276","69978","56516","26169, 40391","50090, 83344, 15812, 48163, 77875, 87141, 70472","1063","5628, 4272, 3675","844","12",da quet
3,Dong Thap,17/10/2022,"878030","84487","74161","45469, 94668","80770, 65805, 29290, 60781, 80441, 31985, 63818","3172","7596, 1672, 5309","474","30",da quet
4,Ca Mau,17/10/2022,"732514","60147","01841","78470, 34438","86441, 45697, 30231, 69569, 85528, 52210, 15592","0836","8333, 2220, 7260","761","31",da quet
5,Phu Yen,17/10/2022,"594322","19469","90316","61066, 04288","15995, 00398, 38943, 50891, 16053, 72529, 89083","7107","7678, 6118, 4739","046","51",da quet
6,Thua Thien Hue,17/10/2022,"936589","94712","40397","97294, 24442","68578, 61190, 62568, 93376, 96150, 96607, 24315","4014","8665, 8117, 3741","672","50",da quet
