1,Mien Bac,25/11/2022,"36819","77300","94639, 60023","65992, 78939, 86794, 32055, 87711, 60182","2846, 6365, 7000, 8638","5530, 0550, 4271, 9426, 9812, 8324","268, 190, 185","96, 56, 66, 83","-",da quet
2,Vinh Long,25/11/2022,"365567","23728","40878","36191, 06077","25097, 46579, 60132, 08388, 98130, 26729, 78028","7615","2029, 5013, 5623","083","06",da quet
3,Binh Duong,25/11/2022,"790235","10922","89607","74775, 27887","83556, 50959, 94656, 46765, 72099, 01911, 28011","8490","9780, 9228, 5305","857","44",da quet
4,Tra Vinh,25/11/2022,"583491","80497","14374","02641, 11567","70735, 34873, 14533, 24100, 87200, 45046, 02435","6892","9771, 1364, 1535","428","01",da quet
5,Gia Lai,25/11/2022,"738250","67261","06919","34316, 67561","42016, 91314, 18318, 36209, 69425, 44968, 26588","6272","8688, 2292, 3658","569","56",da quet
6,Ninh Thuan,25/11/2022,"849005","65456","60144","07083, 94075","47937, 79632, 08171, 58302, 10331, 50963, 85955","4338","9495, 8152, 8776","289","52",da quet
