1,Mien Bac,21/11/2022,"52091","32734","23946, 43525","86711, 73926, 59382, 58525, 08199, 09891","7508, 4247, 6600, 5785","7051, 9777, 2130, 6304, 7143, 3659","753, 767, 938","96, 25, 69, 47","-",da quet
2,Ho Chi Minh,21/11/2022,"146610","31486","62041","99691, 02655","62186, 36782, 03445, 24222, 49035, 94450, 75445","0969","0915, 6865, 3494","564","55",da quet
3,Dong Thap,21/11/2022,"523839","28967","31997","98406, 87853","42100, 74273, 24350, 63779, 73613, 56147, 13222","5450","7418, 9736, 1820","926","10",da quet
4,Ca Mau,21/11/2022,"116893","95624","88782","64909, 34896","02827, 65834, 19165, 37097, 66302, 48167, 40769","8755","7825, 0190, 1615","542","75",da quet
5,Phu Yen,21/11/2022,"376288","50967","07672","26283, 55020","37012, 73373, 22111, 32189, 11188, 39184, 94366","4595","1483, 4266, 6227","625","38",da quet
6,Thua Thien Hue,21/11/2022,"079141","75694","24105","92820, 03400","17520, 63159, 22647, 11585, 32885, 49064, 93840","0358","9838, 5090, 3011","136","53",da quet
