1,Mien Bac,21/09/2022,"44823","04642","28539, 90167","57514, 55801, 03094, 14585, 30266, 70855","7785, 6343, 5951, 3385","5136, 4603, 1640, 7743, 5004, 9439","380, 518, 321","05, 26, 16, 94","-",da quet
2,Dong Nai,21/09/2022,"600470","59793","12905","85049, 78439","81725, 33070, 90216, 05136, 18100, 62032, 70968","8909","8502, 8557, 8723","831","08",da quet
3,Can Tho,21/09/2022,"619143","34832","77878","88523, 96982","56631, 30790, 07079, 37084, 60953, 85871, 55416","8330","7758, 3754, 2489","949","74",da quet
4,Soc Trang,21/09/2022,"446354","33219","68950","10790, 65629","44333, 39958, 80559, 18622, 04393, 27049, 13369","6656","0629, 7100, 0380","168","88",da quet
5,Da Nang,21/09/2022,"506766","47950","51374","99178, 23083","95467, 79069, 07076, 96902, 22338, 77796, 66419","2458","0211, 2562, 8983","072","60",da quet
6,Khanh Hoa,21/09/2022,"984745","34843","13231","19274, 42910","30648, 45211, 92967, 71235, 60499, 31172, 15148","2008","1815, 4543, 5583","050","13",da quet
