1,Mien Bac,29/09/2022,"92129","68334","70735, 51228","30792, 09411, 13941, 98786, 31667, 15756","3837, 4684, 8365, 2866","7969, 2248, 2682, 1783, 9037, 4282","522, 777, 486","26, 03, 94, 76","-",da quet
2,Tay Ninh,29/09/2022,"415740","30029","42845","65252, 74567","32821, 39163, 35145, 49128, 06553, 43746, 43180","7233","4701, 4819, 8532","814","86",da quet
3,An Giang,29/09/2022,"519095","00404","15550","60323, 16864","12915, 29749, 81337, 31602, 65121, 77215, 23955","3298","5476, 4652, 1570","922","87",da quet
4,Binh Thuan,29/09/2022,"200611","90998","46979","72956, 41349","00537, 44065, 93920, 63567, 53096, 07683, 63585","0115","5182, 6633, 5737","914","63",da quet
5,Quang Binh,29/09/2022,"745635","04390","82332","05877, 23554","39750, 01091, 58732, 10426, 27583, 89481, 04543","6770","0237, 2252, 9763","264","93",da quet
6,Binh Dinh,29/09/2022,"544167","53124","12791","61044, 70147","30881, 05992, 64100, 40435, 08428, 02018, 23385","8302","4636, 0138, 6848","938","00",da quet
7,Quang Tri,29/09/2022,"777677","49273","00772","77562, 05131","74582, 25978, 86484, 15134, 77321, 42997, 51461","8158","4577, 9104, 2687","229","91",da quet
