1,Mien Bac,21/10/2022,"50000","77386","96071, 94717","33512, 47054, 17057, 15910, 69114, 85358","4981, 5705, 4473, 2457","7949, 4076, 4318, 6437, 1640, 7878","709, 836, 117","29, 30, 68, 73","-",da quet
2,Vinh Long,21/10/2022,"028515","64979","76251","76378, 32028","35340, 79043, 66394, 04128, 51865, 02565, 10589","4075","8101, 0954, 2896","954","20",da quet
3,Binh Duong,21/10/2022,"309477","20468","56796","47948, 38755","00919, 49717, 55261, 18014, 57644, 56038, 93984","0410","2614, 8651, 0458","900","55",da quet
4,Tra Vinh,21/10/2022,"906392","64101","99470","36690, 26853","26805, 52116, 47168, 04260, 35794, 56241, 02256","4868","6844, 0076, 2322","248","74",da quet
5,Gia Lai,21/10/2022,"193067","25969","15877","55151, 99182","74975, 54326, 21596, 78090, 94454, 10605, 86828","8101","0218, 4415, 5864","542","32",da quet
6,Ninh Thuan,21/10/2022,"997754","87825","07936","38946, 59231","93257, 93535, 55025, 75261, 46841, 89761, 77180","5047","0991, 8153, 3032","411","24",da quet
