1,Mien Bac,08/09/2022,"75743","11926","27509, 34830","11602, 69444, 33782, 75307, 33035, 45370","4612, 1310, 5450, 6192","4529, 5787, 8580, 7087, 6706, 7842","149, 438, 967","61, 14, 90, 71","-",da quet
2,Tay Ninh,08/09/2022,"308121","15602","39594","60861, 11522","27470, 30617, 66797, 62228, 58002, 97683, 98582","7581","2954, 4509, 6059","725","80",da quet
3,An Giang,08/09/2022,"567327","50335","58477","08462, 16316","98216, 36113, 24251, 35273, 11359, 39284, 95771","9358","7714, 6812, 1329","882","72",da quet
4,Binh Thuan,08/09/2022,"436521","36358","81919","74140, 33102","90590, 63610, 91757, 03649, 76445, 61727, 32581","8340","1741, 9786, 0158","333","69",da quet
5,Quang Binh,08/09/2022,"720209","85420","59775","40177, 01726","22705, 69812, 27126, 81270, 73664, 46548, 53812","6113","3460, 0759, 3575","347","93",da quet
6,Binh Dinh,08/09/2022,"989287","05379","36499","68684, 98014","45044, 92609, 18150, 86015, 83931, 32955, 00362","6357","2473, 6525, 0467","295","36",da quet
7,Quang Tri,08/09/2022,"510576","20796","45237","34703, 13855","34206, 21136, 33446, 70488, 54070, 61155, 35066","3668","7384, 5277, 7717","694","54",da quet
