1,Mien Bac,11/09/2022,"99951","20446","01749, 04947","48714, 13415, 43233, 47562, 05148, 54399","2349, 1167, 2271, 6497","7617, 3249, 4218, 7009, 3163, 8093","487, 249, 588","77, 75, 23, 39","-",da quet
2,Tien Giang,11/09/2022,"101001","49561","78885","81350, 86605","25873, 89085, 70774, 88413, 90756, 10735, 08294","2582","0893, 4285, 2823","740","95",da quet
3,Kien Giang,11/09/2022,"907967","30497","26654","13506, 76732","01052, 62587, 64225, 72748, 82725, 19836, 43582","5241","1131, 7128, 9475","540","64",da quet
4,Da Lat,11/09/2022,"179361","98342","72900","19437, 29369","09142, 74692, 10251, 24621, 43524, 95877, 29322","9724","3533, 9834, 1634","751","11",da quet
5,Thua Thien Hue,11/09/2022,"115755","43802","75436","45178, 29830","67451, 10892, 82611, 88275, 23028, 54489, 14624","7709","3730, 6535, 1348","150","04",da quet
6,Khanh Hoa,11/09/2022,"906362","40530","69121","09384, 12968","50616, 12906, 08396, 97902, 07574, 05006, 62108","2491","5913, 3306, 6174","525","98",da quet
7,Kon Tum,11/09/2022,"262411","87949","64780","50804, 72832","26875, 90214, 23798, 65383, 21207, 48788, 59283","1760","9859, 1189, 2475","413","23",da quet
