1,Mien Bac,09/09/2022,"01293","80770","15337, 47742","84235, 63153, 17132, 31890, 86262, 24310","6151, 3354, 6145, 9246","9155, 7143, 8319, 1406, 5014, 2761","565, 455, 052","20, 96, 86, 74","-",da quet
2,Vinh Long,09/09/2022,"635487","42595","47086","96549, 10693","90854, 33647, 34607, 00976, 09251, 42800, 97271","4970","2169, 3394, 4640","960","73",da quet
3,Binh Duong,09/09/2022,"608191","89449","64027","06124, 66629","72460, 48164, 48564, 88816, 95009, 56385, 91483","3131","4246, 6851, 5200","873","38",da quet
4,Tra Vinh,09/09/2022,"309853","56673","49396","80256, 93874","12174, 69016, 56406, 20957, 59422, 70735, 27138","4734","7740, 1662, 0828","497","53",da quet
5,Gia Lai,09/09/2022,"126531","33896","05436","76702, 61941","03813, 79384, 55751, 07101, 06195, 95925, 89345","1273","3289, 8308, 6014","867","75",da quet
6,Ninh Thuan,09/09/2022,"642240","61334","85959","12636, 76983","61414, 56377, 03514, 61315, 04351, 23778, 77238","3431","8964, 1948, 0921","654","59",da quet
