1,Mien Bac,24/09/2022,"08154","01140","39583, 05213","67243, 04747, 99009, 14386, 47068, 86540","8467, 7574, 1579, 7138","0386, 8686, 5211, 9162, 0166, 5909","368, 823, 443","08, 34, 78, 91","-",da quet
2,Ho Chi Minh,24/09/2022,"210135","72108","26518","34098, 21709","64137, 19237, 95073, 31487, 43989, 59565, 46932","9594","8139, 4055, 2523","958","07",da quet
3,Long An,24/09/2022,"731473","64593","07604","50505, 76694","75630, 74264, 48156, 80335, 22098, 62642, 08272","7278","9856, 8194, 4352","067","44",da quet
4,Binh Phuoc,24/09/2022,"255873","57417","15320","28638, 29230","75740, 59152, 42889, 03050, 05229, 23667, 05677","8652","7751, 9814, 0940","235","91",da quet
5,Hau Giang,24/09/2022,"100138","56078","00426","15608, 71458","52034, 27151, 13655, 64191, 82945, 27887, 95621","7750","2957, 7475, 8973","128","66",da quet
6,Da Nang,24/09/2022,"066089","72126","06140","36107, 28289","14797, 94402, 13381, 10702, 14479, 51613, 64972","9571","4631, 7870, 9034","079","93",da quet
7,Quang Ngai,24/09/2022,"809574","63195","00167","03196, 86305","49851, 77454, 95234, 32593, 29736, 63680, 38675","9182","2569, 4522, 9232","931","72",da quet
8,Dak Nong,24/09/2022,"892092","47314","53575","87346, 48334","32663, 95457, 44340, 03523, 84884, 45755, 77957","2780","0401, 6755, 3961","440","07",da quet
