1,Mien Bac,28/09/2022,"41946","37992","99881, 91950","49017, 20483, 16317, 30969, 39736, 05788","9513, 1650, 8588, 6805","7872, 2543, 5183, 9311, 7738, 9622","942, 348, 751","23, 76, 66, 37","-",da quet
2,Dong Nai,28/09/2022,"295730","87640","26186","14725, 68915","15676, 08844, 61797, 13789, 24980, 78545, 17965","7823","6426, 9166, 3269","417","56",da quet
3,Can Tho,28/09/2022,"414966","01425","02742","25655, 78685","52755, 46824, 24716, 37665, 17914, 41279, 68769","6889","2971, 8401, 4653","148","15",da quet
4,Soc Trang,28/09/2022,"221027","87288","76268","42566, 21097","10783, 05630, 66577, 37011, 42585, 35958, 28283","1721","7416, 9437, 1411","071","72",da quet
5,Da Nang,28/09/2022,"860429","55484","49629","83197, 24045","40233, 79711, 23757, 46857, 82988, 26477, 70888","5279","9672, 1724, 5701","961","11",da quet
6,Khanh Hoa,28/09/2022,"834582","66111","09558","34588, 95990","18722, 37002, 51518, 28454, 31850, 44294, 80050","4808","5686, 2365, 1506","474","04",da quet
