1,Mien Bac,03/09/2022,"47153","58840","46746, 06592","55536, 69384, 11121, 74022, 32334, 51107","0663, 4302, 2240, 1784","4784, 5764, 8242, 0620, 9295, 3524","188, 854, 617","32, 43, 04, 71","-",da quet
2,Ho Chi Minh,03/09/2022,"320869","28248","00823","78109, 88689","03479, 10623, 29811, 11014, 31101, 70415, 78446","3941","3725, 2625, 9667","614","93",da quet
3,Long An,03/09/2022,"698715","13230","88487","32144, 06370","73099, 72147, 93487, 71350, 55541, 14511, 57013","9642","3073, 4429, 4458","529","26",da quet
4,Binh Phuoc,03/09/2022,"715083","66825","79189","99975, 70078","43310, 17158, 56153, 86461, 88961, 96600, 03279","4755","4484, 1862, 9989","724","93",da quet
5,Hau Giang,03/09/2022,"257907","82169","27194","88920, 73517","78564, 20285, 29741, 36994, 05977, 41923, 79395","2740","9844, 2057, 4168","024","43",da quet
6,Da Nang,03/09/2022,"908388","44190","79371","45109, 96909","34096, 40626, 34400, 22325, 83485, 88987, 95577","2595","8772, 2963, 1635","936","66",da quet
7,Quang Ngai,03/09/2022,"327857","55046","81223","06404, 30356","69337, 96761, 42163, 68479, 12035, 35286, 61872","0359","9217, 1488, 5986","919","86",da quet
8,Dak Nong,03/09/2022,"281288","47902","68855","26800, 41905","23283, 68242, 99715, 00791, 63877, 06196, 38901","2279","2301, 2157, 0959","707","06",da quet
