1,Mien Bac,16/09/2022,"48715","90716","56928, 41080","43187, 69772, 54529, 67275, 81565, 74877","6222, 2420, 3750, 8550","6817, 6756, 4721, 1214, 2847, 5145","847, 449, 541","90, 89, 86, 84","-",da quet
2,Vinh Long,16/09/2022,"143375","26794","63449","78388, 16018","66874, 73904, 52070, 83259, 60806, 82103, 47095","9145","3672, 4071, 3242","208","64",da quet
3,Binh Duong,16/09/2022,"893906","96640","35557","66941, 44864","36767, 40785, 74495, 08650, 53461, 46476, 09674","2108","7698, 8527, 1727","826","28",da quet
4,Tra Vinh,16/09/2022,"133100","21957","14367","71089, 44931","81892, 08897, 45562, 89011, 56831, 44590, 15631","5373","7029, 0377, 5477","970","04",da quet
5,Gia Lai,16/09/2022,"785813","41425","98894","70847, 03975","84684, 67051, 48062, 02130, 36162, 90084, 64562","9892","6597, 8262, 6295","907","57",da quet
6,Ninh Thuan,16/09/2022,"812452","69533","82092","39001, 09766","11977, 00517, 84601, 00917, 44475, 00159, 00069","0374","6232, 7938, 6858","314","76",da quet
