1,Mien Bac,27/10/2022,"89604","91323","51578, 25475","42317, 79129, 02129, 03015, 38854, 64855","0405, 1015, 0053, 2692","7045, 0058, 5559, 3807, 9109, 1859","276, 593, 588","21, 70, 40, 99","-",da quet
2,Tay Ninh,27/10/2022,"613199","53302","73274","61995, 18990","26174, 81885, 03916, 93910, 18609, 96338, 95300","9500","2689, 0445, 4110","506","47",da quet
3,An Giang,27/10/2022,"643871","30910","39480","32671, 92365","33243, 32165, 80945, 55094, 13090, 35512, 55253","5202","3739, 3196, 1063","541","17",da quet
4,Binh Thuan,27/10/2022,"331052","28503","42539","11376, 05469","07882, 03449, 31081, 18634, 04481, 57512, 22905","5259","6207, 7292, 1856","896","16",da quet
5,Quang Binh,27/10/2022,"812125","20846","53467","96902, 14066","90843, 45548, 86966, 29546, 20204, 37103, 66272","4045","7618, 7722, 5539","627","79",da quet
6,Binh Dinh,27/10/2022,"131735","96717","22449","55219, 09352","22471, 87432, 14707, 70206, 18072, 32188, 78049","4239","3381, 0196, 6162","652","33",da quet
7,Quang Tri,27/10/2022,"321375","14495","07322","26460, 93050","61477, 66328, 88666, 26728, 74215, 07705, 86449","4866","9088, 1545, 4713","083","51",da quet
