1,Mien Bac,14/09/2022,"66581","70165","25649, 75110","24053, 74602, 11614, 17793, 38255, 41413","6240, 7984, 0724, 3955","7903, 9567, 1600, 2103, 4654, 3565","851, 525, 505","92, 08, 74, 99","-",da quet
2,Dong Nai,14/09/2022,"201720","56491","97799","24274, 01421","09869, 64723, 24553, 80230, 61874, 30245, 32820","1173","2138, 2535, 9709","322","56",da quet
3,Can Tho,14/09/2022,"861557","34568","85865","46975, 56619","69312, 76086, 92038, 48861, 20415, 95639, 33818","7712","2523, 8757, 7440","145","97",da quet
4,Soc Trang,14/09/2022,"774567","12582","86626","18883, 35459","36234, 37034, 85679, 37751, 07816, 23800, 03345","0145","8013, 5720, 1865","928","97",da quet
5,Da Nang,14/09/2022,"941551","54774","67603","79965, 11776","01941, 11839, 59235, 74225, 41808, 99214, 62706","3171","0065, 2447, 5498","125","78",da quet
6,Khanh Hoa,14/09/2022,"264790","66832","39669","33500, 97840","10280, 43825, 73745, 10708, 16411, 89403, 66600","9293","0461, 1306, 9840","424","37",da quet
