1,Mien Bac,12/10/2022,"67145","28295","82580, 33620","73040, 79146, 86668, 63657, 04732, 22245","2449, 8653, 9499, 0010","0031, 1635, 8745, 0326, 2604, 0686","971, 858, 036","22, 81, 01, 66","-",da quet
2,Dong Nai,12/10/2022,"023384","01966","01894","17462, 42442","06425, 10671, 99143, 54177, 73638, 36266, 49668","2853","0235, 6848, 5343","935","86",da quet
3,Can Tho,12/10/2022,"160208","85464","82743","09037, 15228","75725, 15883, 80367, 35010, 58428, 62073, 06071","0141","3011, 4118, 6838","000","92",da quet
4,Soc Trang,12/10/2022,"779205","10242","61836","06913, 96038","13601, 02395, 07549, 81765, 60413, 84776, 84068","1238","1441, 5221, 4704","969","07",da quet
5,Da Nang,12/10/2022,"446963","19119","39553","57439, 85687","15632, 56587, 84563, 11013, 40722, 86258, 89867","1693","5491, 6041, 8063","524","32",da quet
6,Khanh Hoa,12/10/2022,"636473","56346","20066","54377, 05595","90632, 73106, 72339, 50214, 78036, 59616, 94078","0004","0778, 1443, 4077","067","10",da quet
