1,Mien Bac,28/11/2022,"65507","90987","23237, 17499","96896, 65083, 98122, 79833, 61991, 81641","3317, 8046, 3130, 6290","8207, 5400, 1972, 6506, 6648, 3190","237, 566, 975","00, 38, 53, 46","-",da quet
2,Ho Chi Minh,28/11/2022,"860428","70145","98275","36608, 52513","28078, 08129, 88808, 51720, 08587, 97186, 27592","5354","8765, 6129, 5298","412","67",da quet
3,Dong Thap,28/11/2022,"167474","74474","88519","40926, 28967","88594, 65083, 62868, 11849, 31991, 64961, 53111","1340","4552, 8811, 3585","253","54",da quet
4,Ca Mau,28/11/2022,"976654","94762","25112","64343, 80315","12278, 22135, 31613, 25586, 36737, 20920, 77916","8815","5066, 9583, 1317","536","03",da quet
5,Phu Yen,28/11/2022,"557810","00502","07571","03888, 39639","36521, 40676, 41619, 00689, 91486, 05354, 39096","6328","8608, 5076, 9181","666","50",da quet
6,Thua Thien Hue,28/11/2022,"771033","61376","55154","73030, 32643","03211, 02046, 21974, 45184, 30021, 99142, 49061","3763","0828, 5047, 5677","684","66",da quet
