1,Mien Bac,29/11/2022,"25380","28733","75482, 90338","40071, 62719, 03871, 39155, 49381, 54569","5221, 4873, 4295, 6204","3664, 7733, 5955, 6664, 8443, 9055","167, 970, 412","03, 69, 77, 61","-",da quet
2,Ben Tre,29/11/2022,"137922","05331","91958","00298, 15151","69324, 50390, 98150, 45012, 48322, 76057, 61819","4906","1245, 4966, 2983","310","85",da quet
3,Vung Tau,29/11/2022,"982079","59913","24892","00113, 05330","38303, 47537, 22181, 60405, 39791, 52834, 91590","1471","4964, 7148, 3605","165","32",da quet
4,Bac Lieu,29/11/2022,"730692","17489","31230","53996, 52163","26836, 08224, 81674, 38256, 35383, 02342, 06980","5629","3312, 9130, 6158","770","52",da quet
5,Dak Lak,29/11/2022,"613334","78221","13484","26988, 18114","20988, 07055, 05324, 57773, 24136, 92896, 04299","9939","9092, 7543, 8027","799","91",da quet
6,Quang Nam,29/11/2022,"511205","90084","84182","40681, 67345","88747, 84391, 49171, 72842, 26248, 94906, 24546","7296","0866, 9956, 5205","226","46",da quet
