1,Mien Bac,02/11/2022,"67246","84000","91602, 49667","26643, 51547, 99669, 56114, 58512, 86392","4034, 7999, 8026, 7738","8540, 0020, 8411, 9998, 1978, 2542","414, 858, 490","08, 33, 36, 78","-",da quet
2,Dong Nai,02/11/2022,"262415","00596","44202","00265, 17747","33303, 56772, 78306, 51563, 01343, 53604, 33232","6127","5948, 4547, 8749","351","12",da quet
3,Can Tho,02/11/2022,"439832","56806","45961","46919, 79016","15927, 14343, 21689, 57403, 28051, 81488, 63256","2915","1446, 8589, 4980","318","62",da quet
4,Soc Trang,02/11/2022,"695342","67432","41512","54077, 78891","06046, 73554, 28921, 42699, 47376, 31029, 87216","7397","1581, 5062, 6202","737","82",da quet
5,Da Nang,02/11/2022,"209146","43019","88157","65743, 34135","08712, 00035, 13471, 45875, 39345, 75752, 68730","3642","8454, 5450, 9758","866","88",da quet
6,Khanh Hoa,02/11/2022,"972290","69851","89414","54907, 61356","00769, 37976, 35849, 21959, 81500, 33034, 17772","8042","2087, 6995, 8098","824","35",da quet
