1,Mien Bac,10/09/2022,"17535","74421","07598, 02432","21437, 09706, 21647, 65512, 61974, 19816","8924, 4536, 0250, 0862","0003, 1179, 3370, 0816, 9711, 1183","340, 431, 743","68, 48, 55, 78","-",da quet
2,Ho Chi Minh,10/09/2022,"965021","93890","14951","37264, 46020","97428, 13575, 76860, 65363, 08096, 60871, 30349","5181","9853, 1557, 7778","267","92",da quet
3,Long An,10/09/2022,"852061","38069","75217","90297, 79081","22965, 74061, 01024, 90227, 96245, 16921, 34588","3649","6127, 1526, 0480","439","61",da quet
4,Binh Phuoc,10/09/2022,"325399","92046","64611","37850, 56332","39611, 45995, 40867, 37225, 45981, 20844, 46331","1772","6750, 6383, 3999","931","20",da quet
5,Hau Giang,10/09/2022,"187194","40285","51790","42780, 31168","55635, 76672, 08744, 75981, 40673, 18666, 60763","4614","2353, 8062, 1254","067","43",da quet
6,Da Nang,10/09/2022,"757959","15455","42228","07154, 60024","16746, 30492, 93896, 22558, 25135, 77926, 89566","4205","5401, 9268, 0718","980","77",da quet
7,Quang Ngai,10/09/2022,"907600","73682","10227","69669, 64400","60722, 14516, 11735, 52398, 48238, 89608, 41344","5515","5517, 9215, 0674","893","55",da quet
8,Dak Nong,10/09/2022,"997167","65101","15646","05859, 83337","94174, 48687, 50156, 98855, 33892, 90108, 47984","8863","5564, 9870, 2928","796","33",da quet
