1,Mien Bac,11/11/2022,"81736","23276","53754, 98359","17284, 59613, 66887, 69623, 90479, 15921","1913, 9442, 8514, 1457","3561, 5865, 5275, 6154, 6603, 9713","570, 440, 936","08, 89, 92, 12","-",da quet
2,Vinh Long,11/11/2022,"820665","42149","81173","65328, 89389","66596, 25327, 77057, 11277, 62844, 01860, 24944","5560","1841, 2286, 5746","570","61",da quet
3,Binh Duong,11/11/2022,"128733","14445","97033","59799, 50084","62722, 48367, 41807, 40277, 87577, 26620, 48055","6862","1265, 5169, 4384","151","58",da quet
4,Tra Vinh,11/11/2022,"530214","87254","40939","08151, 89954","69409, 35144, 16128, 67106, 99278, 35697, 70365","9344","5817, 7683, 3200","001","81",da quet
5,Gia Lai,11/11/2022,"793827","36323","20200","62572, 27678","83279, 03677, 40226, 39451, 48821, 51506, 66710","1330","1712, 5265, 9914","250","03",da quet
6,Ninh Thuan,11/11/2022,"662228","97019","70569","81797, 09930","47809, 66308, 79189, 12615, 04949, 68163, 53490","8161","0482, 8052, 1753","753","52",da quet
