1,Mien Bac,30/09/2022,"89651","76636","22292, 54784","40592, 50165, 34688, 85182, 55312, 77191","5102, 9000, 1506, 9324","0882, 3728, 9426, 5396, 8504, 7262","809, 167, 404","82, 26, 64, 71","-",da quet
2,Vinh Long,30/09/2022,"845391","34315","03030","01010, 28134","48369, 97234, 98381, 00549, 38634, 80338, 94092","4398","4619, 7407, 7819","505","75",da quet
3,Binh Duong,30/09/2022,"324226","95011","83677","15736, 37860","57902, 43196, 62641, 76918, 25486, 77246, 78307","1595","2264, 5677, 0634","659","92",da quet
4,Tra Vinh,30/09/2022,"048453","52819","92093","74410, 17745","02591, 72690, 72536, 37065, 96233, 76971, 70720","0183","5910, 2480, 6071","071","04",da quet
5,Gia Lai,30/09/2022,"141113","81050","50483","06188, 16441","11517, 64920, 69766, 66865, 51537, 23758, 90141","2448","3727, 4026, 2374","534","26",da quet
6,Ninh Thuan,30/09/2022,"816156","37623","78952","44773, 23199","42675, 11692, 29766, 50701, 87085, 97108, 45369","4336","3631, 9950, 1589","048","65",da quet
