1,Mien Bac,17/09/2022,"55890","82995","85254, 99868","74363, 31000, 98734, 25095, 92211, 67172","5992, 5247, 0426, 6302","1049, 1972, 3323, 0748, 3642, 0676","084, 250, 098","65, 71, 29, 25","-",da quet
2,Ho Chi Minh,17/09/2022,"517935","88510","85716","15195, 15730","50908, 72453, 20482, 19692, 38740, 67754, 82235","9863","4184, 3798, 4986","542","89",da quet
3,Long An,17/09/2022,"794565","84103","24401","65540, 42993","61834, 58530, 13334, 60308, 48826, 73314, 45493","5164","5321, 7699, 9364","685","86",da quet
4,Binh Phuoc,17/09/2022,"250607","18399","66964","71256, 11682","80348, 98909, 36127, 74060, 81107, 36705, 07181","5163","2859, 6177, 2030","119","63",da quet
5,Hau Giang,17/09/2022,"495941","19904","67916","28031, 52934","74290, 85498, 58462, 58984, 58168, 28702, 85969","1476","2934, 7207, 6758","640","79",da quet
6,Da Nang,17/09/2022,"853656","44859","33062","60712, 18618","74720, 49592, 70830, 86020, 56641, 38674, 14412","8075","5113, 3578, 0017","459","21",da quet
7,Quang Ngai,17/09/2022,"800859","86405","90092","03488, 77064","79604, 55910, 15979, 99417, 63939, 68344, 22573","6838","2581, 3414, 7469","456","53",da quet
8,Dak Nong,17/09/2022,"137609","09755","07148","99003, 36802","42816, 00810, 10083, 15572, 09376, 72377, 89573","1687","7332, 1478, 9168","166","57",da quet
