1,Mien Bac,19/09/2022,"62198","45485","76774, 74253","18739, 41960, 51934, 31194, 39042, 78008","2546, 5002, 0826, 2950","7124, 9884, 5639, 3108, 6204, 5861","927, 362, 456","95, 77, 72, 22","-",da quet
2,Ho Chi Minh,19/09/2022,"275622","04115","18626","18895, 82372","66426, 94644, 66876, 22716, 22836, 77945, 23953","6780","0466, 2242, 9773","814","06",da quet
3,Dong Thap,19/09/2022,"870842","40573","87283","14459, 60332","53393, 73322, 75964, 70628, 80781, 57480, 73919","5876","3296, 6535, 0892","727","07",da quet
4,Ca Mau,19/09/2022,"586883","01309","61062","02809, 61869","79006, 29426, 61723, 48451, 58891, 74081, 19090","7334","1132, 5172, 0780","284","25",da quet
5,Phu Yen,19/09/2022,"128273","33901","82063","43747, 18716","96922, 14003, 30527, 38841, 51633, 55256, 06716","7254","3440, 9240, 8852","305","03",da quet
6,Thua Thien Hue,19/09/2022,"016494","15174","88803","04057, 28595","40693, 91703, 99176, 82857, 39958, 81211, 17878","6016","1369, 3933, 9666","980","98",da quet
